date,lat,lon,CO_mol_per_m2,qa_value
,11.584853,103.068756,0.032940205,0.7
,11.643193,103.20864,0.03336583,0.7
,11.699848,103.34524,0.03252554,0.7
,11.860473,103.736946,0.027793465,0.7
,11.911132,103.86195,0.024551963,0.7
,11.960457,103.9844,0.0331869,0.7
,12.008503,104.104385,0.030642794,0.7
,12.0553255,104.22203,0.030711444,0.7
,12.100976,104.33743,0.034262296,0.7
,12.1455,104.45069,0.033328123,0.7
,12.188946,104.5619,0.03529315,0.7
,12.231355,104.671135,0.036584463,0.7
,12.272767,104.778496,0.03527031,0.7
,12.313222,104.88404,0.03426352,0.7
,12.352755,104.987854,0.035148438,0.7
,12.391401,105.09,0.026140494,0.7
,12.4291935,105.190544,0.037432857,0.7
,12.466163,105.28956,0.03510045,0.7
,12.502338,105.38709,0.036877,0.7
,12.537749,105.48321,0.040438965,0.7
,12.572423,105.57796,0.039963502,0.7
,12.606383,105.67139,0.03748095,0.7
,12.639656,105.76356,0.034942128,0.7
,12.672265,105.85451,0.037410755,0.7
,12.704231,105.94428,0.037717912,0.7
,12.735577,106.032936,0.040174287,0.7
,12.766323,106.12049,0.034228753,0.7
,12.796488,106.20701,0.0343734,0.7
,12.826091,106.2925,0.03884232,0.7
,12.855151,106.37703,0.03832395,0.7
,12.883684,106.46062,0.033776123,0.7
,12.911707,106.543304,0.03932512,0.7
,12.939237,106.625114,0.038047135,0.7
,12.966288,106.706085,0.033775587,0.7
,12.992874,106.78624,0.0405672,0.7
,13.0190115,106.865616,0.03669778,0.7
,13.069989,107.02213,0.038474377,1.0
,13.094856,107.09933,0.036889184,0.7
,13.119326,107.17584,0.038432967,0.7
,13.143408,107.25172,0.038703665,0.7
,13.167114,107.32696,0.036976043,0.7
,13.190456,107.40159,0.044093963,0.7
,13.213445,107.47565,0.040974304,0.7
,13.236089,107.54914,0.038129136,0.7
,13.258399,107.62209,0.036299407,0.7
,13.280385,107.694534,0.035576627,0.7
,13.302054,107.76647,0.039710622,0.7
,13.323418,107.83793,0.037125405,0.7
,13.344482,107.90893,0.0356421,0.7
,13.365257,107.979485,0.042522047,0.7
,13.38575,108.049614,0.032990698,0.7
,13.405969,108.11934,0.034281503,0.7
,13.42592,108.188675,0.03482453,0.7
